kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 4, Thursday,5547,16.7
frame,lgw,Year 1, spring 4, Thursday,5548,16.7
frame,lgw,Year 1, spring 4, Thursday,5549,16.8
frame,lgw,Year 1, spring 4, Thursday,5550,16.6
frame,lgw,Year 1, spring 4, Thursday,5551,16.6
frame,lgw,Year 1, spring 4, Thursday,5552,16.6
frame,lgw,Year 1, spring 4, Thursday,5553,16.7
frame,lgw,Year 1, spring 4, Thursday,5554,16.7
frame,lgw,Year 1, spring 4, Thursday,5555,16.7
frame,lgw,Year 1, spring 4, Thursday,5556,16.7
frame,lgw,Year 1, spring 4, Thursday,5557,16.8
frame,lgw,Year 1, spring 4, Thursday,5558,17.4
frame,lgw,Year 1, spring 4, Thursday,5559,15.9
frame,lgw,Year 1, spring 4, Thursday,5560,16.6
frame,lgw,Year 1, spring 4, Thursday,5561,16.6
frame,lgw,Year 1, spring 4, Thursday,5562,16.7
frame,lgw,Year 1, spring 4, Thursday,5563,16.6
frame,lgw,Year 1, spring 4, Thursday,5564,16.7
frame,lgw,Year 1, spring 4, Thursday,5565,16.8
frame,lgw,Year 1, spring 4, Thursday,5566,16.6
frame,lgw,Year 1, spring 4, Thursday,5567,16.6
