kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 7, Sunday,4433,16.7
frame,lgw,Year 1, spring 7, Sunday,4434,17.5
frame,lgw,Year 1, spring 7, Sunday,4435,15.9
frame,lgw,Year 1, spring 7, Sunday,4436,16.7
frame,lgw,Year 1, spring 7, Sunday,4437,16.6
frame,lgw,Year 1, spring 7, Sunday,4438,16.6
frame,lgw,Year 1, spring 7, Sunday,4439,16.9
frame,lgw,Year 1, spring 7, Sunday,4440,16.5
frame,lgw,Year 1, spring 7, Sunday,4441,16.6
frame,lgw,Year 1, spring 7, Sunday,4442,16.7
frame,lgw,Year 1, spring 7, Sunday,4443,16.6
frame,lgw,Year 1, spring 7, Sunday,4444,16.7
