kind,player,date,name,calls,total_ms,avg_ms,max_ms
frame,lgw,Year 1, spring 18, Thursday,5536,21.0
frame,lgw,Year 1, spring 18, Thursday,5537,20.9
frame,lgw,Year 1, spring 18, Thursday,5538,0.1
frame,lgw,Year 1, spring 18, Thursday,5539,20.9
frame,lgw,Year 1, spring 18, Thursday,5540,21.0
frame,lgw,Year 1, spring 18, Thursday,5541,21.2
frame,lgw,Year 1, spring 18, Thursday,5542,0.1
frame,lgw,Year 1, spring 18, Thursday,5543,21.0
frame,lgw,Year 1, spring 18, Thursday,5544,22.1
frame,lgw,Year 1, spring 18, Thursday,5545,20.8
frame,lgw,Year 1, spring 18, Thursday,5546,21.7
frame,lgw,Year 1, spring 18, Thursday,5547,0.1
frame,lgw,Year 1, spring 18, Thursday,5548,21.0
frame,lgw,Year 1, spring 18, Thursday,5549,21.5
frame,lgw,Year 1, spring 18, Thursday,5550,20.9
frame,lgw,Year 1, spring 18, Thursday,5551,21.8
frame,lgw,Year 1, spring 18, Thursday,5552,0.1
frame,lgw,Year 1, spring 18, Thursday,5553,21.0
frame,lgw,Year 1, spring 18, Thursday,5554,21.6
frame,lgw,Year 1, spring 18, Thursday,5555,20.8
frame,lgw,Year 1, spring 18, Thursday,5556,0.1
frame,lgw,Year 1, spring 18, Thursday,5557,21.9
frame,lgw,Year 1, spring 18, Thursday,5558,21.1
frame,lgw,Year 1, spring 18, Thursday,5559,21.2
frame,lgw,Year 1, spring 18, Thursday,5560,21.2
frame,lgw,Year 1, spring 18, Thursday,5561,0.1
frame,lgw,Year 1, spring 18, Thursday,5562,21.0
frame,lgw,Year 1, spring 18, Thursday,5563,21.6
frame,lgw,Year 1, spring 18, Thursday,5564,20.9
frame,lgw,Year 1, spring 18, Thursday,5565,0.1
frame,lgw,Year 1, spring 18, Thursday,5566,21.2
frame,lgw,Year 1, spring 18, Thursday,5567,21.0
frame,lgw,Year 1, spring 18, Thursday,5568,21.2
frame,lgw,Year 1, spring 18, Thursday,5569,22.1
frame,lgw,Year 1, spring 18, Thursday,5570,0.1
frame,lgw,Year 1, spring 18, Thursday,5571,21.8
frame,lgw,Year 1, spring 18, Thursday,5572,21.3
frame,lgw,Year 1, spring 18, Thursday,5573,21.4
frame,lgw,Year 1, spring 18, Thursday,5574,0.2
frame,lgw,Year 1, spring 18, Thursday,5575,22.0
frame,lgw,Year 1, spring 18, Thursday,5576,20.9
